,Name of Member,Party,Constituency,State,Constituency Type
396,"Sahu, Shri Chandra Sekhar",Biju Janata Dal,Berhampur,Odisha,
397,"Sahu, Shri Chunni Lal",Bharatiya Janata Party,Mahasamund,Chhattisgarh,
398,"Sai, Smt. Gomati",Bharatiya Janata Party,Raigarh,Chhattisgarh,ST
399,"Samadani, Dr. M. P. Abdussamad",Indian Union Muslim League,Malappuram,Kerala,
400,"Samanta, Shri Achyutananda",Biju Janata Dal,Kandhamal,Odisha,
401,"Sangma, Smt. Agatha K.",National People's Party,Tura,Meghalaya,ST
402,"Sao, Shri Arun",Bharatiya Janata Party,Bilaspur,Chhattisgarh,
403,"Sarangi, Smt. Aparajita",Bharatiya Janata Party,Bhubaneswar,Odisha,
404,"Sarania, Shri Naba (Hira) Kumar",Independent,Kokrajhar,Assam,ST
405,"Saraswati, Shri Sumedhanand",Bharatiya Janata Party,Sikar,Rajasthan,
406,"Sardinha, Shri Francisco Cosme",Indian National Congress,South Goa,Goa,
407,"Sarkar, Shri Jagannath",Bharatiya Janata Party,Ranaghat,West Bengal,SC
408,"Sarkar, Dr. Subhas",Bharatiya Janata Party,Bankura,West Bengal,
409,"Satyanarayana, Shri M V V",Yuvajana Sramika Rythu Congress Party,Visakhapatnam,Andhra Pradesh,
410,"Saumitra, Shri Khan",Bharatiya Janata Party,Bishnupur,West Bengal,SC
411,"Sawant, Shri Arvind Ganpat",Shiv Sena,Mumbai-South,Maharashtra,
412,"Selvam, Shri Ganesan",Dravida Munnetra Kazhagam,Kancheepuram,Tamil Nadu,SC
413,"Selvaraj, Shri Muniyan",Communist Party of India,Nagapattinam,Tamil Nadu,SC
414,"Sen, Dr. Jadon Chandra",Bharatiya Janata Party,Firozabad,Uttar Pradesh,
415,"Seth, Shri Sanjay",Bharatiya Janata Party,Ranchi,Jharkhand,
416,"Sethi, Smt. Sarmistha Kumari",Biju Janata Dal,Jajpur,Odisha,SC
417,"Shah, Shri Amit Anil Chandra",Bharatiya Janata Party,Gandhinagar,Gujarat,
418,"Shah, Smt. Mala Rajya Laxmi",Bharatiya Janata Party,Tehri Garhwal,Uttarakhand,
419,"Sharma, Shri Anurag",Bharatiya Janata Party,Jhansi,Uttar Pradesh,
420,"Sharma, Dr. Arvind Kumar",Bharatiya Janata Party,Rohtak,Haryana,
421,"Sharma, Shri Jugal Kishore",Bharatiya Janata Party,Jammu,Jammu and Kashmir,
422,"Sharma, Shri Kuldeep Rai",Indian National Congress,Andaman and Nicobar Islands,Andaman and Nicobar Islands,
423,"Sharma, Dr. Mahesh",Bharatiya Janata Party,Gautam Buddha Nagar,Uttar Pradesh,
424,"Sharma, Shri Vishnu Datt",Bharatiya Janata Party,Khajuraho,Madhya Pradesh,
425,"Shejwalkar, Shri Vivek Narayan",Bharatiya Janata Party,Gwalior,Madhya Pradesh,
426,"Shekhawat, Shri Gajendra Singh",Bharatiya Janata Party,Jodhpur,Rajasthan,
427,"Shetty, Shri Gopal Chinayya",Bharatiya Janata Party,Mumbai-North,Maharashtra,
428,"Shewale, Shri Rahul Ramesh",Shiv Sena,Mumbai South-Central,Maharashtra,
429,"Shinde, Dr. Shrikant Eknath",Shiv Sena,Kalyan,Maharashtra,
430,"Shiyal, Dr. Bharatiben Dhirubhai",Bharatiya Janata Party,Bhavnagar,Gujarat,
431,"Shrangare, Shri Sudhakar Tukaram",Bharatiya Janata Party,Latur,Maharashtra,SC
432,"Shukla, Shri Ravi Kishan",Bharatiya Janata Party,Gorakhpur,Uttar Pradesh,
433,"Siddeshwara, Shri Gowdar Mallikarjunappa",Bharatiya Janata Party,Davanagere,Karnataka,
434,"Sigriwal, Shri Janardan Singh",Bharatiya Janata Party,Maharajganj,Bihar,
435,"Simha, Shri Prathap",Bharatiya Janata Party,Mysore,Karnataka,
436,"Singari, Dr. Sanjeev Kumar",Yuvajana Sramika Rythu Congress Party,Kurnool,Andhra Pradesh,
437,"Singh, Dr. Amar",Indian National Congress,Fatehgarh Sahib,Punjab,SC
438,"Singh, Shri Arjun",Bharatiya Janata Party,Barrackpur,West Bengal,
439,"Singh, Shri Atul Kumar",Bahujan Samaj Party,Ghosi,Uttar Pradesh,
440,"Singh, Shri Bhola",Bharatiya Janata Party,Bulandshahr,Uttar Pradesh,SC
441,"Singh, Shri Brijbhushan Sharan",Bharatiya Janata Party,Kaiserganj,Uttar Pradesh,
442,"Singh, Shri Brijendra",Bharatiya Janata Party,Hisar,Haryana,
443,"Singh, Shri Chandan",Lok Jan Shakti Party,Nawada,Bihar,
444,"Singh, Shri Devendra (Alias) Bhole Singh",Bharatiya Janata Party,Akbarpur,Uttar Pradesh,
445,"Singh, Shri Dushyant",Bharatiya Janata Party,Jhalawar-Baran,Rajasthan,
446,"Singh, Shri Ganesh",Bharatiya Janata Party,Satna,Madhya Pradesh,
447,"Singh, Shri Giriraj",Bharatiya Janata Party,Begusarai,Bihar,
448,"Singh, Smt. Himadri",Bharatiya Janata Party,Shahdol,Madhya Pradesh,ST
449,"Singh, Dr. Jitendra",Bharatiya Janata Party,Udhampur,Jammu and Kashmir,
450,"Singh, Smt. Kavita",Janata Dal (United),Siwan,Bihar,
451,"Singh, Shri Kirti Vardhan",Bharatiya Janata Party,Gonda,Uttar Pradesh,
452,"Singh, Shri Lallu",Bharatiya Janata Party,Faizabad,Uttar Pradesh,
453,"Singh, Shri Mahabali",Janata Dal (United),Karakat,Bihar,
454,"Singh, Shri Nayab",Bharatiya Janata Party,Kurukshetra,Haryana,
455,"Singh, Shri Parvesh Sahib",Bharatiya Janata Party,West Delhi,NCT of Delhi,
456,"Singh, Shri Pashupati Nath",Bharatiya Janata Party,Dhanbad,Jharkhand,
457,"Singh, Shri Pradeep Kumar",Bharatiya Janata Party,Araria,Bihar,
458,"Singh, Smt. Pratibha",Indian National Congress,Mandi,Himachal Pradesh,
459,"Singh, Shri Radha Mohan",Bharatiya Janata Party,Purvi Champaran,Bihar,
460,"Singh, Shri Raj Kumar",Bharatiya Janata Party,Arrah,Bihar,
461,"Singh, Shri Raj Nath",Bharatiya Janata Party,Lucknow,Uttar Pradesh,
462,"Singh, Shri Rajbahadur",Bharatiya Janata Party,Sagar,Madhya Pradesh,
463,"Singh, Shri Rajiv Ranjan Alias Lalan Singh",Janata Dal (United),Munger,Bihar,
464,"Singh, Shri Rajveer (Raju Bhaiya)",Bharatiya Janata Party,Etah,Uttar Pradesh,
465,"Singh, Shri Rakesh",Bharatiya Janata Party,Jabalpur,Madhya Pradesh,
466,"Singh, Shri Ravneet",Indian National Congress,Ludhiana,Punjab,
467,"Singh, Smt. Renuka",Bharatiya Janata Party,Surguja,Chhattisgarh,ST
468,"Singh, Dr. Satya Pal",Bharatiya Janata Party,Baghpat,Uttar Pradesh,
469,"Singh, Shri Sunil Kumar",Bharatiya Janata Party,Chatra,Jharkhand,
470,"Singh, Shri Sushil Kumar",Bharatiya Janata Party,Aurangabad,Bihar,
471,"Singh, Shri Uday Pratap",Bharatiya Janata Party,Hoshangabad,Madhya Pradesh,
472,"Singh, Shri Virendra",Bharatiya Janata Party,Ballia,Uttar Pradesh,
